endpoint,avg_ms,p95_ms,p99_ms,ok_percent,last_status,iters,warmup,base
GET /api/quiz/summary,98.61643770000228,136.99271180005326,139.07456156006901,100.0,200,10,2,http://localhost:8080
GET /api/usuario,66.08481569996911,121.91996884982925,134.14924336984313,100.0,200,10,2,http://localhost:8080
POST /api/usuario,89.3010702999618,128.54234314996802,130.60300942997173,100.0,200,10,2,http://localhost:8080
POST /api/usuario/login,86.96744300002592,127.0688872499704,134.03373345006912,100.0,200,10,2,http://localhost:8080
GET /api/pergunta,84.34583050002402,123.98104910001848,124.72362902014311,100.0,200,10,2,http://localhost:8080
POST /api/pergunta,81.71098880000045,129.7876454500738,135.1601986900323,100.0,200,10,2,http://localhost:8080
MEDIA_FINAL,84.50443099999727,128.04876759998555,132.9573959200214,100.0,200,10,2,http://localhost:8080
